transactionHash,address,totalFee,lpFee,pcstFee,cakeFee,swapFrom,swapTo,swapAmountFrom,swapAmountTo,totalFeeFormatted,efxFeesFormatted,wbnbFeesFormatted
0xc4a5cf924b6378c101ddac2f042e3e6f67ad18cc9dae3631e76340cf66c2e44e,0x10ED43C718714eb63d5aA57B78B54704E256024E,130779775307278.4,88930247208949.31,15693573036873.406,26155955061455.68,WBNB,EFX,52311910122911357,282105398841891592796,0.013077977530727784,,0.013077977530727784
0x5a7685d69f54701c45c9c97549b727f7e2a353c0d265b149480a9ba07490ae3e,0x10ED43C718714eb63d5aA57B78B54704E256024E,165923778.29500002,112828169.24059999,19910853.3954,33184755.659,WBNB,EFX,66369511318,357857962340876,0.165923777829500002,,0.165923777829500002
0x1a28f3dacc3143f5bea75efad48a49790920e642502f4ed4923a26ad6f08f98d,0x10ED43C718714eb63d5aA57B78B54704E256024E,6537499773130930,4445499845729032,784499972775711.5,1307499954626186,WBNB,EFX,2614999909252371766,13989401047027412330898,0.00653749977313093,,0.00653749977313093
0xb9279ee9ad3a68a8cb49663dc3bb37d89648a34d45db30935e956e7113ee23bb,0x10ED43C718714eb63d5aA57B78B54704E256024E,12500000000000,8500000000000,1499999999999.9998,2500000000000,WBNB,EFX,5000000000000000,26537976016557787700,0.0000125,,0.0000125
0x82624864c3ec0fe0544ba7ebaafabc88c97878bd67125e272a31b71369f27344,0x10ED43C718714eb63d5aA57B78B54704E256024E,130245559201067.58,88566980256725.95,15629467104128.107,26049111840213.516,WBNB,EFX,52098223680427032,276468995703649215004,0.130245559201066858,,0.130245559201066858
0x9b2edd5e5752f752c1d4220892b4833e567cb24aad91b2172f0338eb77476ea5,0x10ED43C718714eb63d5aA57B78B54704E256024E,327540395266468.06,222727468781198.25,39304847431976.164,65508079053293.61,WBNB,EFX,131016158106587218,694880481099498892102,0.327540395266467806,,0.327540395266467806
0x748a4ec2c59ed60f81ac7f23cd848d6e851339624f445787533c3c96efc30a36,0x10ED43C718714eb63d5aA57B78B54704E256024E,196603929387681.7,133690671983623.53,23592471526521.8,39320785877536.336,WBNB,EFX,78641571755072674,416835265350864516215,0.019660392938768087,,0.019660392938768087
0xafcbdf480ab6bcbed25aa096eedb496f51b2603e65e9b01eee2f860a3c5b89bf,0x10ED43C718714eb63d5aA57B78B54704E256024E,88611988871129.05,60256152432367.74,10633438664535.484,17722397774225.81,WBNB,EFX,35444795548451616,187808919016419302360,0.088611988871128805,,0.088611988871128805
0xc5d1a7a90800b828d5577cadb8e0b4b47f17c4a8d5dc02707265c73c45dadc70,0x10ED43C718714eb63d5aA57B78B54704E256024E,262333360474404.72,178386685122595.2,31480003256928.562,52466672094880.945,WBNB,EFX,104933344189761880,555769538043902251083,0.262333360474403872,,0.262333360474403872
0x09d78de39a523e7c2ffaf6905ee439afce057c0f5d499a666b7bf749c86c545e,0x10ED43C718714eb63d5aA57B78B54704E256024E,3750000000000000,2550000000000000,449999999999999.94,750000000000000,WBNB,EFX,1500000000000000000,7906633198465536434462,0.00375,,0.00375
