transactionHash,address,totalFee,lpFee,pcstFee,cakeFee,swapFrom,swapTo,swapAmountFrom,swapAmountTo,totalFeeFormatted,lpFeeFormatted,efxFeesFormatted,wbnbFeesFormatted,inOutEfx,inOutWbnb,totalEfxOnlyFee,totalWbnbOnlyFee,onlyWbnb,onlyEfx
0x46abfb0983ebb7b6b4aafb22ccd2397347357d57ce98c77dcd8144c5be93e1e4,0x10ED43C718714eb63d5aA57B78B54704E256024E,8746225669949653,32882176152953204782578,1049547080393958,1749245133989930,WBNB,EFX,3498490267979861330,74275532853481182918870,0,0,0,8746225669949653,0,0,126268405850918010962,5947433455565764,3498490267979861330,74275532853481182918870
0x1fb2c5743926b2452df856484146bd060bee56405642f2fb50f9a08f2fd55bc8,0x10ED43C718714eb63d5aA57B78B54704E256024E,1205524381555731,513710355812871632241,144662925786687,241104876311146,WBNB,EFX,482209752622292581,10000000000000000000000,0,0,0,1205524381555731,0,0,17000000000000000000,819756579457897,482209752622292581,10000000000000000000000
0x2ed134ca6421255081e15d8c58248919dc83979c03b57d73d241a929818cc757,0x10ED43C718714eb63d5aA57B78B54704E256024E,969322199587765,513726738796212930346,116318663950531,193864439917553,WBNB,EFX,387728879835106277,8000000000000000000000,0,0,0,969322199587765,0,0,13600000000000000000,659139095719680,387728879835106277,8000000000000000000000
0x7124e93f4069a3846748199cafa6f3d6d2fd27a1be7ef79646af16f37557ae6a,0x10ED43C718714eb63d5aA57B78B54704E256024E,8671954834691266,32882180814386698846366,1040634580162952,1734390966938253,WBNB,EFX,3468781933876506669,70000000000000000000000,0,0,0,8671954834691266,0,0,119000000000000000000,5896929287590061,3468781933876506669,70000000000000000000000
0x7b8a04d66486ae4ffd8844c79007511fc0c0bbff063332eeeb4db978c67e7b45,0x10ED43C718714eb63d5aA57B78B54704E256024E,448496906035489,32882751683420269868952,53819628724258,89699381207097,WBNB,EFX,179398762414195964,3545000000000000000000,0,0,0,448496906035489,0,0,6026500000000000000,304977896104133,179398762414195964,3545000000000000000000
0x9c968c49fd043664661079fa0ec0cdf2c09bddbe6af56f6ade4df4d95557e7ba,0x10ED43C718714eb63d5aA57B78B54704E256024E,6424758962395049,513348349702344617156,770971075487405,1284951792479009,WBNB,EFX,2569903584958019713,50000000000000000000000,0,0,0,6424758962395049,0,0,85000000000000000000,4368836094428633,2569903584958019713,50000000000000000000000
0x8a291b6ff7731d140eac73aa2d7a1d1d80423209b82eccfef57d2c0fcb565806,0x10ED43C718714eb63d5aA57B78B54704E256024E,250000000000000000000,2028224134159138026371062903,30000000000000000000,50000000000000000000,EFX,WBNB,100000000000000000000000,5042081499858804750,0,0,250000000000000000000,0,0,0,170000000000000000000,8571538549759968,5042081499858804750,100000000000000000000000
0x9b5c9e17f1f3b75ee5248bd909908b652d192ea7be8a3e995064aac1028d7fb2,0x10ED43C718714eb63d5aA57B78B54704E256024E,1369385161329645,513698990429186513541,164326219359557,273877032265929,WBNB,EFX,547754064531858326,11090230298279103596991,0,0,0,1369385161329645,0,0,18853391507074476114,931181909704159,547754064531858326,11090230298279103596991
0x37521863c355a39d5c005530ac6f9ab4a23b5b5b6f81f0cbe2f79e86be1e2cae,0x10ED43C718714eb63d5aA57B78B54704E256024E,2491546402841411,513621157325475257502,298985568340969,498309280568282,WBNB,EFX,996618561136564432,20000000000000000000000,0,0,0,2491546402841411,0,0,34000000000000000000,1694251553932159,996618561136564432,20000000000000000000000
0x67a9acaffa8f9ce2472920bb0a08b14dbdbe5621456f79c8e69ff23f6852497b,0x10ED43C718714eb63d5aA57B78B54704E256024E,490444104651336,513759953780877721041,58853292558160,98088820930267,WBNB,EFX,196177641860534793,3910000000000000000000,0,0,0,490444104651336,0,0,6647000000000000000,333501991162909,196177641860534793,3910000000000000000000
0x0ff7e77acde71539c49cdf0e9ea4ff47949156f64c0687f5c50a62521ac38ff1,0x10ED43C718714eb63d5aA57B78B54704E256024E,3799918301675666,513530408650572113578,455990196201079,759983660335133,WBNB,EFX,1519967320670266415,30000000000000000000000,0,0,0,3799918301675666,0,0,51000000000000000000,2583944445139452,1519967320670266415,30000000000000000000000
0xeab93552db3acc0ddd86e2761103658ec05719d23e82e3fec641f50ce3595160,0x10ED43C718714eb63d5aA57B78B54704E256024E,3015000000000000,32882573670765672490532,361800000000000,603000000000000,WBNB,EFX,1206000000000000000,23437878804539905130092,0,0,0,3015000000000000,0,0,39844393967717838721,2050200000000000,1206000000000000000,23437878804539905130092
0xa2485fd6083c47a1de0c1025598db63c9fc25a6b3929b68aba95d06f248c52b9,0x10ED43C718714eb63d5aA57B78B54704E256024E,5241788344333665,513430400544413354706,629014601320039,1048357668866733,WBNB,EFX,2096715337733466372,40000000000000000000000,0,0,0,5241788344333665,0,0,68000000000000000000,3564416074146892,2096715337733466372,40000000000000000000000
0x76b79a38baee83be3d76367134d1cc5f350009a560dfde660282c6f940dee52f,0x10ED43C718714eb63d5aA57B78B54704E256024E,3594697011349762825,264465786276756788217,431363641361971539,718939402269952565,EFX,WBNB,1437878804539905130092,75848247170975871,0,0,3594697011349762825,0,0,0,2444393967717838721,128942020190658,75848247170975871,1437878804539905130092
0x01051fa055ff6154893a3b7038e69bcd328115a6b3f4a3a2252b431dfcc1e609,0x10ED43C718714eb63d5aA57B78B54704E256024E,5362415208005434,513422033865149080814,643489824960652,1072483041601086,WBNB,EFX,2144966083202173935,40000000000000000000000,0,0,0,5362415208005434,0,0,68000000000000000000,3646442341443695,2144966083202173935,40000000000000000000000
0x939988163f558ba910ff9ddc4b846e4afa698c60c9457e4e683d93d8a9617af0,0x10ED43C718714eb63d5aA57B78B54704E256024E,1087894923139322,513718514592107394397,130547390776718,217578984627864,WBNB,EFX,435157969255728823,8000000000000000000000,0,0,0,1087894923139322,0,0,13600000000000000000,739768547734738,435157969255728823,8000000000000000000000
0xa659a1f52ba56070cd8c6a3e9fa3de568571def35253fb7d0593d44d489545f3,0x10ED43C718714eb63d5aA57B78B54704E256024E,2742641580695565,513603741363939293345,329116989683467,548528316139113,WBNB,EFX,1097056632278226238,20000000000000000000000,0,0,0,2742641580695565,0,0,34000000000000000000,1864996274872984,1097056632278226238,20000000000000000000000
0x041e20b172b1f3ec13cc94503fc47e05fb09d55c6dbd54033d044a7029a2e948,0x10ED43C718714eb63d5aA57B78B54704E256024E,967745182258594,32882715668359831034439,116129421871031,193549036451718,WBNB,EFX,387098072903437680,7000000000000000000000,0,0,0,967745182258594,0,0,11900000000000000000,658066723935844,387098072903437680,7000000000000000000000
